k1,b,fields,analyser,recall_100,recall_500,recall_1000,map_cut_1000,ndcg_cut_10,P_5
0.5,0.3,text_keywords,gene_synonym_symbol,0.3565,0.6752,0.7683,0.2664,0.4951,0.5150
0.5,0.7,text_keywords,gene_synonym_symbol,0.3583,0.6748,0.7648,0.2610,0.4965,0.5100
1.5,0.3,text_keywords,gene_synonym_symbol,0.3416,0.6534,0.7570,0.2574,0.4651,0.5150
1.5,0.7,text_keywords,gene_synonym_symbol,0.3327,0.6491,0.7498,0.2505,0.4826,0.5150
2.5,0.3,text_keywords,gene_synonym_symbol,0.3205,0.6259,0.7365,0.2389,0.4505,0.4800
2.5,0.7,text_keywords,gene_synonym_symbol,0.3111,0.6188,0.7214,0.2347,0.4604,0.5250
0.5,0.3,text_keywords,gene_synonym_symbol_ortho,0.2653,0.5821,0.6760,0.1685,0.2769,0.3250
0.5,0.7,text_keywords,gene_synonym_symbol_ortho,0.2599,0.5802,0.6705,0.1639,0.2820,0.3350
1.5,0.3,text_keywords,gene_synonym_symbol_ortho,0.2779,0.5798,0.6781,0.1730,0.2903,0.3250
1.5,0.7,text_keywords,gene_synonym_symbol_ortho,0.2625,0.5723,0.6665,0.1668,0.2864,0.3150
2.5,0.3,text_keywords,gene_synonym_symbol_ortho,0.2709,0.5539,0.6604,0.1702,0.3127,0.3500
2.5,0.7,text_keywords,gene_synonym_symbol_ortho,0.2574,0.5557,0.6554,0.1621,0.3018,0.3550
0.5,0.3,text_keywords_mesh_terms,english,0.3770,0.6796,0.7813,0.2971,0.5300,0.5450
0.5,0.7,text_keywords_mesh_terms,english,0.3816,0.6759,0.7757,0.2943,0.5232,0.5600
1.5,0.3,text_keywords_mesh_terms,english,0.3658,0.6606,0.7673,0.2856,0.5072,0.5400
1.5,0.7,text_keywords_mesh_terms,english,0.3644,0.6572,0.7571,0.2804,0.5084,0.5800
2.5,0.3,text_keywords_mesh_terms,english,0.3414,0.6362,0.7390,0.2649,0.4876,0.5450
2.5,0.7,text_keywords_mesh_terms,english,0.3341,0.6298,0.7248,0.2599,0.4859,0.5800
0.5,0.3,text_keywords_mesh_terms,gene_synonym_all,0.1176,0.3366,0.4494,0.0615,0.1123,0.1250
0.5,0.7,text_keywords_mesh_terms,gene_synonym_all,0.1206,0.3308,0.4630,0.0614,0.1183,0.1500
1.5,0.3,text_keywords_mesh_terms,gene_synonym_all,0.1446,0.3609,0.4749,0.0705,0.1346,0.1500
1.5,0.7,text_keywords_mesh_terms,gene_synonym_all,0.1411,0.3559,0.4669,0.0673,0.1320,0.1550
2.5,0.3,text_keywords_mesh_terms,gene_synonym_all,0.1436,0.3586,0.4642,0.0697,0.1492,0.1500
2.5,0.7,text_keywords_mesh_terms,gene_synonym_all,0.1458,0.3522,0.4576,0.0672,0.1333,0.1700
0.5,0.3,text_keywords_mesh_terms,gene_synonym_symbol,0.3565,0.6755,0.7671,0.2663,0.4951,0.5150
0.5,0.7,text_keywords_mesh_terms,gene_synonym_symbol,0.3583,0.6745,0.7637,0.2608,0.4965,0.5100
1.5,0.3,text_keywords_mesh_terms,gene_synonym_symbol,0.3416,0.6534,0.7570,0.2574,0.4651,0.5150
1.5,0.7,text_keywords_mesh_terms,gene_synonym_symbol,0.3327,0.6491,0.7497,0.2504,0.4826,0.5150
2.5,0.3,text_keywords_mesh_terms,gene_synonym_symbol,0.3205,0.6259,0.7365,0.2389,0.4505,0.4800
2.5,0.7,text_keywords_mesh_terms,gene_synonym_symbol,0.3111,0.6188,0.7212,0.2346,0.4604,0.5250
0.5,0.3,text_keywords_mesh_terms,gene_synonym_symbol_ortho,0.2687,0.5932,0.6799,0.1725,0.2614,0.3000
0.5,0.7,text_keywords_mesh_terms,gene_synonym_symbol_ortho,0.2630,0.5909,0.6768,0.1679,0.2789,0.3150
1.5,0.3,text_keywords_mesh_terms,gene_synonym_symbol_ortho,0.2803,0.5875,0.6858,0.1759,0.2888,0.3250
1.5,0.7,text_keywords_mesh_terms,gene_synonym_symbol_ortho,0.2629,0.5745,0.6692,0.1672,0.2820,0.3000
2.5,0.3,text_keywords_mesh_terms,gene_synonym_symbol_ortho,0.2707,0.5568,0.6643,0.1708,0.3127,0.3500
2.5,0.7,text_keywords_mesh_terms,gene_synonym_symbol_ortho,0.2575,0.5562,0.6560,0.1622,0.3018,0.3550
